"Chinese","Traditional","Pinyin","Definition","Result"
"微","","Wēi <br />wēi ","surname Wei  / ancient Chinese state near present day Chongqing  / Taiwan pr. [Wei2]<br />tiny  / miniature  / slightly  / profound  / abtruse  / to decline  / one millionth part of  / micro-  / Taiwan pr. [wei2]","True"
"圈","","juān <br />juàn <br />quān ","to confine  / to lock up  / to pen in<br />pen (pig)  / a fold<br />circle  / ring  / loop  / classifier for loops, orbits, laps of race etc  / CL: 個｜个 / to surround  / to circle","True"
"关注","關注","guān zhù ","to pay attention to  / to follow sth closely  / concern  / interest  / attention","True"
"赞","贊","zàn ","to patronize  / to support  / to praise  / (Internet slang) to like (an online post on Facebook etc)","True"
"转发","轉發","zhuǎn fā ","to transmit  / to forward (mail, SMS, packets of data)  / to pass on  / to republish (an article from another publication)","True"
"好友","","hǎo yǒu ","close friend  / pal  / (social networking website) friend  / CL: 個｜个","True"
"粉丝","粉絲","fěn sī ","bean vermicelli  / mung bean starch noodles  / Chinese vermicelli  / cellophane noodles  / CL: 把 / fan (loanword)  / enthusiast for sb or sth","True"
"分享","","fēn xiǎng ","to share (let others have some of sth good)","True"
"评论","評論","píng lùn ","to comment on  / to discuss  / comment  / commentary  / CL: 篇","True"
"粉","","fěn ","powder  / cosmetic face powder  / food prepared from starch  / noodles or pasta made from any kind of flour  / whitewash  / white  / pink","True"
"丝","絲","sī ","silk  / thread  / trace  / (cuisine) shreds or julienne strips  / CL: 條｜条 / classifier: a thread (of cloud, smoke etc), a bit, an iota, a hint (of sth) etc","True"
"享","","xiǎng ","to enjoy  / to benefit  / to have the use of","True"
"评","評","píng ","to discuss  / to comment  / to criticize  / to judge  / to choose (by public appraisal)","True"
"论","論","Lún <br />lùn ","abbr. for 論語｜论语, The Analects (of Confucius)<br />opinion  / view  / theory  / doctrine  / to discuss  / to talk about  / to regard  / to consider  / per  / by the (kilometer, hour etc)","True"
"销","銷","xiāo ","to melt (metal)  / to cancel or annul  / to sell  / to spend  / to fasten with a bolt  / bolt or pin","True"
"收据","收據","shōu jù ","receipt  / CL: 張｜张","True"
"报销","報銷","bào xiāo ","to submit an expense account  / to apply for reimbursement  / to write off  / to wipe out","True"
"费用","費用","fèi yòng ","cost  / expenditure  / expense  / CL: 筆｜笔, 個｜个","True"
"尽快","儘快","jǐn kuài <br />jìn kuài ","as quickly as possible  / as soon as possible  / with all speed<br />see 儘快｜尽快","True"
"回复","回復","huí fù ","to reply  / to recover  / to return (to a previous condition)  / Re: in reply to (email)","True"
"报告","報告","bào gào ","to inform  / to report  / to make known  / report  / speech  / talk  / lecture  / CL: 篇, 份, 個｜个, 通","True"
"协议","協議","xié yì ","agreement  / pact  / protocol  / CL: 項｜项","True"
"尽","儘","jǐn <br />jìn ","to the greatest extent  / (when used before a noun of location) furthest or extreme  / to be within the limits of  / to give priority to<br />to use up  / to exhaust  / to end  / to finish  / to the utmost  / exhausted  / finished  / to the limit (of sth)  / all  / entirely","True"
"协","協","xié ","to cooperate  / to harmonize  / to help  / to assist  / to join","True"
"合同","","hé tong ","(business) contract  / CL: 個｜个","True"
"项目","項目","xiàng mù ","item  / project  / (sports) event  / CL: 個｜个","True"
"签名","簽名","qiān míng ","to sign (one's name with a pen etc)  / to autograph  / signature","True"
"汇报","匯報","huì bào <br />huì bào ","to report  / to give an account of  / to collect information and report back<br />to report  / to give an account of  / report","True"
"合","","gě <br />hé ","100 ml  / one-tenth of a peck  / measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗<br />to close  / to join  / to fit  / to be equal to  / whole  / together  / round (in battle)  / conjunction (astronomy)  / 1st note of pentatonic scale  / old variant of 盒","True"
"项","項","Xiàng <br />xiàng ","surname Xiang<br />back of neck  / item  / thing  / term (in a mathematical formula)  / sum (of money)  / classifier for principles, items, clauses, tasks, research projects etc","True"
"汇","匯","huì <br />huì ","to remit  / to converge (of rivers)  / to exchange<br />class  / collection","True"
"广告","廣告","guǎng gào ","to advertise  / a commercial  / advertisement  / CL: 項｜项","True"
"预算","預算","yù suàn ","budget","True"
"资本","資本","zī běn ","capital (economics)","True"
"低","","dī ","low  / beneath  / to lower (one's head)  / to let droop  / to hang down  / to incline","True"
"广","廣","Guǎng <br />guǎng ","surname Guang<br />wide  / numerous  / to spread","True"
"资","資","zī ","resources  / capital  / to provide  / to supply  / to support  / money  / expense","True"
"险","險","xiǎn ","danger  / dangerous  / rugged","True"
"投","","tóu ","to cast  / to send  / to throw oneself (into the river etc)  / to seek refuge  / to place oneself into the hands of","True"
"保险","保險","bǎo xiǎn ","insurance  / to insure  / safe  / secure  / be sure  / be bound to  / CL: 份","True"
"风险","風險","fēng xiǎn ","risk  / hazard","True"
"投资","投資","tóu zī ","investment  / to invest","True"
"律师","律師","lǜ shī ","lawyer","True"
"版权","版權","bǎn quán ","copyright","True"
"咨询","咨詢","zī xún ","to consult  / to seek advice  / consultation  / (sales) inquiry (formal)","True"
"律","","Lǜ <br />lǜ ","surname Lü<br />law","True"
"版","","bǎn ","a register  / block of printing  / edition  / version  / page","True"
"咨","","zī ","to consult","True"
"权","權","Quán <br />quán ","surname Quan<br />authority  / power  / right  / (literary) to weigh  / expedient  / temporary","True"
"询","詢","xún ","to ask about  / to inquire about","True"
"保持","","bǎo chí ","to keep  / to maintain  / to hold  / to preserve","True"
"联系","聯繫","lián xì ","connection  / contact  / relation  / to get in touch with  / to integrate  / to link  / to touch","True"
"联","聯","lián ","to ally  / to unite  / to join  / (poetry) antithetical couplet","True"
"持","","chí ","to hold  / to grasp  / to support  / to maintain  / to persevere  / to manage  / to run (i.e. administer)  / to control","True"
"合作","","hé zuò ","to cooperate  / to collaborate  / to work together  / cooperation  / CL: 個｜个","True"
"愉快","","yú kuài ","cheerful  / cheerily  / delightful  / pleasant  / pleasantly  / pleasing  / happy  / delighted","True"
"辛苦","","xīn kǔ ","exhausting  / hard  / tough  / arduous  / to work hard  / to go to a lot of trouble  / hardship(s)","True"
"感谢","感謝","gǎn xiè ","(express) thanks  / gratitude  / grateful  / thankful  / thanks","True"
"愉","","yú ","pleased","True"
"辛","","Xīn <br />xīn ","surname Xin<br />(of taste) hot or pungent  / hard  / laborious  / suffering  / eighth in order  / eighth of the ten Heavenly Stems 十天干 / letter ""H"" or roman ""VIII"" in list ""A, B, C"", or ""I, II, III"" etc  / ancient Chinese compass point: 285°  / octa","True"
"伤","傷","shāng ","to injure  / injury  / wound","True"
"受","","shòu ","to receive  / to accept  / to suffer  / subjected to  / to bear  / to stand  / pleasant  / (passive marker)","True"
"救","","jiù ","to save  / to assist  / to rescue","True"
"警","","jǐng ","to alert  / to warn  / police","True"
"报警","報警","bào jǐng ","to sound an alarm  / to report sth to the police","True"
"救护车","救護車","jiù hù chē ","ambulance  / CL: 輛｜辆","True"
"受伤","受傷","shòu shāng ","to sustain injuries  / wounded (in an accident etc)  / harmed","True"
"救命","","jiù mìng ","to save sb's life  / (interj.) Help!  / Save me!","True"
"发生","發生","fā shēng ","to happen  / to occur  / to take place  / to break out","True"
"意外","","yì wài ","unexpected  / accident  / mishap  / CL: 個｜个","True"
"严重","嚴重","yán zhòng ","grave  / serious  / severe  / critical","True"
"严","嚴","Yán <br />yán ","surname Yan<br />tight (closely sealed)  / stern  / strict  / rigorous  / severe  / father","True"
"命","","mìng ","life  / fate  / order or command  / to assign a name, title etc","True"
"偷","","tōu ","to steal  / to pilfer  / to snatch  / thief  / stealthily","True"
"警察","","jǐng chá ","police  / police officer  / CL: 個｜个","True"
"察","","Chá <br />chá ","short name for Chahar Province 察哈爾｜察哈尔<br />to examine  / to inquire  / to observe  / to inspect  / to look into  / obvious  / clearly evident","True"
"奖","獎","jiǎng ","prize  / award  / encouragement  / CL: 個｜个","True"
"工资","工資","gōng zī ","wages  / pay  / CL: 個｜个, 份, 月","True"
"加班","","jiā bān ","to work overtime","True"
"奖金","獎金","jiǎng jīn ","premium  / award money  / bonus","True"
"生意","","shēng yì <br />shēng yi ","life force  / vitality<br />business  / CL: 筆｜笔","True"
"压力","壓力","yā lì ","pressure","True"
"责任","責任","zé rèn ","responsibility  / blame  / duty  / CL: 個｜个","True"
"商量","","shāng liang ","to consult  / to talk over  / to discuss","True"
"意见","意見","yì jiàn ","idea  / opinion  / suggestion  / objection  / complaint  / CL: 點｜点, 條｜条","True"
"压","壓","yā <br />yà ","to press  / to push down  / to keep under (control)  / pressure<br />see 壓根兒｜压根儿","True"
"责","責","zé ","duty  / responsibility  / to reproach  / to blame","True"
"任","","Rén <br />rèn ","surname Ren  / Ren County 任縣｜任县 in Hebei<br />to assign  / to appoint  / to take up a post  / office  / responsibility  / to let  / to allow  / to give free rein to  / no matter (how, what etc)  / classifier for terms served in office, or for spouses, girlfriends etc (as in 前任男友)","True"
"误会","誤會","wù huì ","to misunderstand  / to mistake  / misunderstanding  / CL: 個｜个","True"
"抱歉","","bào qiàn ","to be sorry  / to feel apologetic  / sorry!","True"
"原谅","原諒","yuán liàng ","to excuse  / to forgive  / to pardon","True"
"误","誤","wù ","mistake  / error  / to miss  / to harm  / to delay  / to neglect  / mistakenly","True"
"抱","","bào ","to hold  / to carry (in one's arms)  / to hug  / to embrace  / to surround  / to cherish","True"
"原","","Yuán <br />yuán ","Hara (Japanese surname)<br />former  / original  / primary  / raw  / level  / cause  / source","True"
"歉","","qiàn ","to apologize  / to regret  / deficient","True"
"谅","諒","liàng ","to show understanding  / to excuse  / to presume  / to expect","True"
"干燥","乾燥","gān zào ","to dry (of weather, paint, cement etc)  / desiccation  / dull  / uninteresting  / arid","True"
"暖和","","nuǎn huo ","warm  / nice and warm","True"
"凉快","涼快","liáng kuai ","nice and cold  / pleasantly cool","True"
"燥","","zào ","dry  / parched  / impatient","True"
"暖","","nuǎn ","warm  / to warm","True"
"凉","涼","Liáng <br />liáng <br />liàng ","the five Liang of the Sixteen Kingdoms, namely: Former Liang 前涼｜前凉 (314-376), Later Liang 後涼｜后凉 (386-403), Northern Liang 北涼｜北凉 (398-439), Southern Liang 南涼｜南凉 (397-414), Western Liang 西涼｜西凉 (400-421)<br />cool  / cold<br />to let sth cool down","True"
"温度","溫度","wēn dù ","temperature  / CL: 個｜个","True"
"大约","大約","dà yuē ","approximately  / probably","True"
"温","溫","Wēn <br />wēn ","surname Wen<br />warm  / lukewarm  / temperature  / to warm up  / mild  / soft  / tender  / to review (a lesson etc)  / fever (TCM)  / old variant of 瘟","True"
"鹰","鷹","yīng ","eagle  / falcon  / hawk","True"
"羽","","yǔ ","feather  / 5th note in pentatonic scale","True"
"橙","","chéng ","orange tree  / orange (color)","True"
"猫头鹰","貓頭鷹","māo tóu yīng ","owl","True"
"羽毛","","yǔ máo ","feather  / plumage  / plume","True"
"多儿","","duō er","","False"
"鼓励","鼓勵","gǔ lì ","to encourage","True"
"提醒","","tí xǐng ","to remind  / to call attention to  / to warn of","True"
"懒","懶","lǎn ","lazy","True"
"放弃","放棄","fàng qì ","to renounce  / to abandon  / to give up","True"
"鼓","","gǔ ","drum  / CL: 通, 面 / to drum  / to strike  / to rouse  / to bulge  / to swell","True"
"励","勵","Lì <br />lì ","surname Li<br />to encourage  / to urge","True"
"醒","","xǐng ","to wake up  / to be awake  / to become aware  / to sober up  / to come to","True"
"弃","棄","qì ","to abandon  / to relinquish  / to discard  / to throw away","True"
